TTBT62,514c
SFVZ54,B26
BPCD33,B21
GTFG51,F18
YWTL96,I13
FSWY76,E14
XTCF91,E01
CFRS93,424
KLJC37,303
XFBZ46,E08
SLFB71,210
ZYZX59,204e
FKJG79,G13
XTTT42,428e
YCCH70,109
DWHB40,223
TXPH43,B17
SJRD50,406
DGWJ81,H04
GHTH31,404c
SDHV56,I09e
LKCP26,503
YXJG90,322
BWXY62,H07
ZXPV11,210
YZLD23,224c
TTLD57,407
PHRR98,G18
JVTT34,216
DTZZ79,432n
XLWC44,B29
HLHD67,E14
TZDD97,C09
YGWX62,113c
PBXH78,302
WYRW55,426
CRCF78,B29
TJFK37,313e
DTFJ52,I05
GPVG71,505
JHPZ73,510
BLPK58,115
GYHX65,210v
HGVK77,I05
LYFT77,B16
VZCS82,J13c
PRWY46,H07
CWWZ93,224c
YVTV53,C02c
LBWW55,D05
JJZY12,D17
WLZB31,421
WSYR62,I03c
JRHL87,426
GYYY12,314c
YTTV50,116
VXRW16,418
SCWF15,C05
YVXF39,227
LFBF24,B19
RRDP51,126
RVGJ13,F14
WSFD72,C11
CPYK69,J2
LBGJ71,345
JXTP16,B32
KZYW76,C19
YWVK67,712n
GGSD69,224c
JHGX91,226
SHTV23,432n
JWGZ51,115c
XDHD61,314c
TKJG91,F24
TXTL36,431c
ZRPH78,F13
YFDS19,415e
KFWF85,108
TTTT73,I17
VWFZ57,385
VYCJ98,117
JTZS88,117c
KVRC37,221e
LTTJ32,302
BVDG70,C02c
RZLS81,D19
TTTK96,F20
KWJB45,302n
VWDK17,314c
ZYVV75,C09
VYKB41,J19
WRHW27,502
TFWS36,307e
PPVZ64,209
YFXC14,G22
VPYT95,I20
LHZS30,508
KKHJ71,B30n
CSCD57,103
XJTW82,431c
HZVT85,308c
GVGJ38,506
FKWT70,115c
WDHD52,345
WJZT71,F08
ZXJS34,F16
RFBL91,405
TPBL20,430
ZDBV79,406
LJHZ68,712n
WBWF22,B27
HGRH81,271
XJHY57,404
BZVD16,B02
HPXX77,B16
ZWBB98,B14
HLCZ98,262n
LLPR26,G16
PPBB35,541n
SZSR15,F11
HPPW85,508
LKRC85,E10
XLDZ98,C02
SBXZ61,219e
ZWRP75,214
RSYD48,206c
TWDJ16,H02
VXVX33,H06
RHDY11,G18
KJWK84,C01
YKXB69,C08
SXHH46,514
GZZR77,H14
DLCC88,118
PLLX11,307e
ZGYV17,415e
CKSL64,408e
KBXF55,106
CRRG66,C01
XBHV72,B17
HRCC66,419
GHRY93,217e
VYFV22,E14
HXCZ95,E03
ZFPF61,I09
RVLP81,I09e
GKRG43,B04
JFJH79,314c
GHLP39,C06
GXDG23,206
PRPL30,J13c
PBVP63,115c
KTJY91,204n
PHWZ57,101
PLVB51,109
KWHR13,302n
CPHF66,210v
RDWV18,D19
SXKL13,302
YFFT68,I21
RKGK91,F18
JCTP96,712n
RFVL63,G01
KBGF82,J05
WHPR22,506e
CDXB28,209
RZDH17,204
HSYD81,314c
SSVT84,211
YXVH33,404
RFCK19,102
TYBB76,F12
WRHT43,502c
CZTK31,230
FFTL19,228
FCXB57,G07
VZZS88,228
FZGT79,J10
LSGB42,F20
XXXL84,481
KCFX21,271
PTLP78,I10
WXWR13,F24
KRRB11,302e
WZVV47,E12
HYPK32,B02n
WJTL79,G01
CWHP58,D03c
YRGC72,I09c
CYPJ25,213e
STRV54,B23
RXGS41,121
JYZY48,C11
RGHY12,203e
DPYL86,I17
KHDL38,348
XKJD46,F06
JPSR60,I09e
ZVJY13,I03c
JPVD60,G02
SDJT89,G23
LBFG23,F26
WYDY29,109n
DCRD68,B18e
VGPK90,J06
DPFD71,423
ZZGD54,B23
RDZB35,J13c
TPPZ96,F25
VWTW38,271
RTYF97,H02
YFTS11,J2
DWRJ19,205
BTPC51,J17
DRZR30,303e
FWRS61,201
VFTZ92,514
VZXV56,510
KXZJ67,230
BKGP52,C12
WSKF61,D13
BRTZ26,348
KTKH43,G23
XWFV32,207c
ZPSG25,E05
KKLP43,B02
XWJL23,C11
HRPJ40,J04
CHCY54,486
TPYG83,216
SZJV10,E16
YBPC67,322
YVHT46,F08
VVFH41,205c
HSDL69,264n
BZHY64,I20
WZXF32,230
PXPX39,325
CDYG67,510
SGSF44,F20
RBTL61,B27
ZGXD83,E11
VJHT41,506e
RFTB46,486
PPYX46,514
CCHJ70,110
CLXV75,322
TXHL37,I08n
CYFG85,B02n
HYBS82,E01
CPFZ30,D11
FRYJ38,223
GZXY25,207
LHLB99,224c
ZBLT17,E07
ZZVL90,G08
XSSG21,107
TTHZ68,E12
SSHV48,B30n
PBST18,264n
XLDT42,H14
YPFH94,428
LWZK30,410
BHSP28,I10
WZVX85,C19
WYYJ33,H12
PKCD52,C11
FBPD43,410
YFTW77,I08c
VXLT19,301c2
LZCC14,J19
TGRR27,D10
RTHX71,508
RDSY75,E17
YBJT18,I08c
BBPC61,B06
CRLC58,126
WDZV88,D10
GZCT88,404c
KLWG36,C07
DCZK43,517
WSGX19,201
FZYS13,507c
JLZP97,F20
YZCX21,117
BBHC69,420e
KVDB60,J08
FJPR97,107c
XPHJ40,E13
CXJX68,B19
PTXW12,227
WJSZ15,B19
XPLH39,C15
SLGP52,F16
TLZC31,H12
HLGD54,264n
FYSD88,B18e
ZLVP27,356n
WGLF13,307
HCLB72,F03
BSSG44,426
CSKL16,307e
CVJH64,C10e
PTLX83,107
HVBZ32,C11
GGBP78,481
TDXT95,262n
SYKV44,F25
FHLK95,2234
DCST91,405
FSFD33,I09c
PJFL83,C10e
LSHJ48,C05
ZSRW56,113
KFPT73,I24
BLHV68,F10
JKFZ51,I22
HBBS55,205c
PSHG19,G13
LXWF31,435
PDGP87,227
ZVYT50,E07
LCLF30,C03
FDSD83,H02
ZKJX61,418
WZFP17,303e
RXYF29,I16
XWHF81,303e
WSLD44,107
DXXW89,J15c
VTWB52,506
KSSH70,207c
JRCG94,481
KBTL93,C12
VXSS78,F06
ZVDD72,H03
VTHX23,307c
XWVR18,F25e
RRVW35,J02
JPCC46,J13c
YGPG59,219e
RWBH12,402
SKCH71,F24
JKHX81,107c
WFWC83,108
KJTJ95,120
ZTBH27,F19
DTZJ63,I16
PRXB32,F03c
DCGR29,F03
CSXR49,D08
DZTF58,541n
ZYXW32,B04
